                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.1267,                0.88454,                 1.1621,                0.76258,                0.76877,                0.82491,                0.47283,                 1.5332,                  1.658,                 1.6667,             0.00063805,             0.00063805,             0.00063805
                     45,                 1.1355,                0.83171,                 1.1534,                0.76729,                0.78254,                0.83275,                 0.4498,                 1.5792,                 1.6189,                 1.7172,             0.00062705,             0.00062705,             0.00062705
                     46,                 1.1218,                0.85498,                  1.142,                0.88306,                0.76104,                0.84525,                0.47033,                 1.5328,                 1.6502,                 1.6939,             0.00061605,             0.00061605,             0.00061605
                     47,                 1.1106,                0.80861,                 1.1266,                0.86089,                0.74768,                 0.8464,                0.49231,                 1.5001,                 1.6449,                 1.6742,             0.00060505,             0.00060505,             0.00060505
                     48,                 1.0709,                0.77832,                 1.1172,                0.86139,                0.75419,                0.86515,                0.49915,                 1.4711,                 1.6447,                 1.6456,             0.00059405,             0.00059405,             0.00059405
                     49,                 1.0988,                 0.8159,                 1.1343,                0.81474,                0.81245,                0.87033,                0.49687,                 1.4972,                 1.5507,                 1.6732,             0.00058305,             0.00058305,             0.00058305
                     50,                 1.1193,                0.82462,                 1.1401,                0.88174,                0.74333,                0.85937,                0.47649,                 1.5845,                  1.583,                 1.7233,             0.00057205,             0.00057205,             0.00057205
                     51,                 1.0545,                0.77058,                 1.0961,                0.84035,                0.76928,                0.83307,                0.48365,                 1.5776,                 1.5793,                 1.7166,             0.00056105,             0.00056105,             0.00056105
                     52,                 1.0712,                0.80066,                 1.1105,                0.84572,                0.76825,                0.83423,                0.47836,                 1.5528,                 1.5508,                 1.6966,             0.00055006,             0.00055006,             0.00055006
                     53,                 1.1124,                 0.7889,                 1.1249,                0.89069,                0.74794,                0.83766,                0.48319,                 1.5721,                 1.5583,                    1.7,             0.00053906,             0.00053906,             0.00053906
                     54,                 1.0909,                0.79587,                 1.1266,                0.76163,                0.77869,                0.82228,                0.48518,                 1.5468,                 1.5825,                 1.6731,             0.00052806,             0.00052806,             0.00052806
                     55,                 1.0433,                0.77438,                 1.1065,                0.87467,                0.73763,                0.83341,                 0.4845,                 1.5677,                 1.6261,                 1.7139,             0.00051706,             0.00051706,             0.00051706
                     56,                 1.0589,                0.75048,                 1.0854,                0.79703,                 0.7755,                0.82824,                0.50147,                 1.5397,                 1.5312,                  1.707,             0.00050606,             0.00050606,             0.00050606
                     57,                 1.0646,                0.77463,                 1.1196,                0.77685,                0.76501,                0.82765,                0.47844,                 1.5402,                 1.4772,                 1.7153,             0.00049506,             0.00049506,             0.00049506
                     58,                 1.0095,                0.74285,                 1.0698,                0.72159,                0.81388,                0.83042,                0.46656,                 1.5461,                 1.4938,                 1.7063,             0.00048406,             0.00048406,             0.00048406
                     59,                 1.0249,                0.77969,                 1.1284,                0.80319,                 0.7402,                0.84012,                 0.4791,                 1.5808,                 1.5094,                 1.7442,             0.00047306,             0.00047306,             0.00047306
                     60,                0.99832,                0.72369,                 1.0772,                0.84119,                0.75456,                0.83919,                0.47288,                 1.5806,                 1.5317,                 1.7038,             0.00046206,             0.00046206,             0.00046206
                     61,                 1.0101,                0.74173,                 1.0893,                 0.8443,                0.77078,                0.83724,                0.47366,                 1.6085,                 1.5068,                 1.7099,             0.00045107,             0.00045107,             0.00045107
                     62,                  1.003,                0.70366,                 1.0636,                0.78122,                0.83312,                0.83205,                0.47967,                 1.6355,                 1.5136,                   1.73,             0.00044007,             0.00044007,             0.00044007
                     63,                 1.0109,                0.74085,                 1.1032,                0.75618,                0.83666,                0.83511,                0.46792,                 1.6363,                 1.5082,                 1.7527,             0.00042907,             0.00042907,             0.00042907
                     64,                 1.0072,                0.73029,                 1.0849,                 0.7345,                0.83829,                0.83897,                0.48225,                 1.6237,                 1.5182,                 1.7627,             0.00041807,             0.00041807,             0.00041807
                     65,                0.99813,                0.74442,                  1.087,                0.72261,                 0.8418,                0.82112,                0.47339,                 1.5906,                  1.537,                 1.7381,             0.00040707,             0.00040707,             0.00040707
                     66,                0.95786,                0.70846,                 1.0413,                0.77856,                0.82723,                0.82958,                0.47306,                 1.6011,                 1.5447,                 1.7534,             0.00039607,             0.00039607,             0.00039607
                     67,                0.98428,                0.71896,                 1.0727,                0.77679,                0.85153,                0.82843,                0.45786,                 1.6085,                 1.5684,                  1.753,             0.00038507,             0.00038507,             0.00038507
                     68,                0.96282,                 0.6992,                 1.0549,                0.78006,                 0.7979,                0.84045,                0.48009,                 1.5294,                 1.5017,                 1.6915,             0.00037407,             0.00037407,             0.00037407
                     69,                0.95873,                0.70241,                 1.0577,                0.74657,                0.82564,                0.84997,                0.51232,                 1.4871,                  1.495,                 1.6511,             0.00036307,             0.00036307,             0.00036307
                     70,                0.95673,                0.68848,                 1.0543,                0.74076,                 0.8039,                0.85408,                0.50208,                 1.4964,                 1.5002,                   1.65,             0.00035208,             0.00035208,             0.00035208
                     71,                 0.9054,                0.67674,                 1.0439,                0.91085,                0.71551,                0.85006,                0.49356,                 1.4777,                 1.4681,                 1.6328,             0.00034108,             0.00034108,             0.00034108
                     72,                0.94783,                0.65959,                 1.0367,                0.89802,                0.72248,                0.85412,                0.48907,                 1.4954,                 1.4675,                 1.6541,             0.00033008,             0.00033008,             0.00033008
                     73,                0.96783,                0.69681,                 1.0762,                0.84439,                0.77734,                0.86679,                0.49913,                 1.5099,                 1.5416,                 1.6737,             0.00031908,             0.00031908,             0.00031908
                     74,                0.93158,                0.66828,                 1.0416,                0.79548,                0.84028,                0.85851,                 0.4931,                 1.5296,                 1.5772,                 1.6876,             0.00030808,             0.00030808,             0.00030808
                     75,                0.95355,                0.66209,                 1.0479,                0.80041,                0.82134,                0.86659,                  0.511,                 1.5241,                 1.5144,                 1.6807,             0.00029708,             0.00029708,             0.00029708
                     76,                 0.9322,                 0.6936,                 1.0794,                0.77722,                0.83499,                0.86306,                0.50842,                 1.5299,                 1.4388,                 1.6737,             0.00028608,             0.00028608,             0.00028608
                     77,                0.87299,                0.64943,                  1.033,                 0.8355,                 0.7686,                0.86259,                0.49662,                 1.5684,                 1.4053,                 1.7077,             0.00027508,             0.00027508,             0.00027508
                     78,                0.91523,                0.65007,                 1.0295,                0.84312,                0.76561,                  0.866,                 0.4792,                 1.6077,                 1.3722,                 1.7565,             0.00026408,             0.00026408,             0.00026408
                     79,                0.89226,                0.66373,                 1.0454,                0.79358,                0.83573,                 0.8678,                0.48787,                 1.5763,                 1.3353,                  1.713,             0.00025309,             0.00025309,             0.00025309
                     80,                0.89745,                0.68093,                 1.0543,                0.79514,                0.86365,                0.85819,                0.48693,                 1.5356,                 1.3431,                 1.6823,             0.00024209,             0.00024209,             0.00024209
                     81,                0.92316,                0.65285,                 1.0564,                0.85539,                0.84165,                0.86303,                0.49173,                 1.5395,                  1.369,                 1.7037,             0.00023109,             0.00023109,             0.00023109
                     82,                0.87669,                0.65191,                 1.0337,                0.86636,                0.82468,                0.85129,                0.48425,                 1.5466,                   1.42,                 1.7292,             0.00022009,             0.00022009,             0.00022009
                     83,                0.90386,                0.65095,                  1.045,                0.79672,                0.82378,                0.85482,                0.49194,                 1.5433,                 1.4514,                 1.7291,             0.00020909,             0.00020909,             0.00020909
                     84,                0.86804,                0.61774,                 1.0204,                0.86258,                0.74417,                0.86039,                0.49623,                 1.5294,                 1.4749,                  1.716,             0.00019809,             0.00019809,             0.00019809
                     85,                0.85624,                0.61243,                  1.019,                0.89854,                0.73333,                0.85099,                 0.4857,                 1.5359,                 1.4773,                 1.7293,             0.00018709,             0.00018709,             0.00018709
                     86,                0.89826,                0.64589,                 1.0365,                0.89256,                0.73828,                0.85221,                0.48788,                 1.5396,                 1.4576,                 1.7182,             0.00017609,             0.00017609,             0.00017609
                     87,                0.87105,                0.62388,                 1.0166,                0.87422,                0.83031,                0.86699,                0.49257,                 1.5389,                 1.4276,                 1.7121,             0.00016509,             0.00016509,             0.00016509
                     88,                0.87839,                 0.6386,                 1.0464,                 0.8567,                0.78571,                0.86798,                0.49905,                 1.5275,                 1.4045,                 1.6986,              0.0001541,              0.0001541,              0.0001541
                     89,                0.80457,                0.60939,                  1.012,                0.77563,                0.88694,                0.86627,                0.50552,                 1.5153,                 1.3933,                 1.6833,              0.0001431,              0.0001431,              0.0001431
                     90,                0.82708,                0.65824,                 1.0211,                0.75042,                0.88547,                0.86824,                0.50015,                 1.5114,                 1.4141,                  1.685,              0.0001321,              0.0001321,              0.0001321
                     91,                0.82719,                0.64469,                 1.0119,                0.83688,                0.81412,                 0.8723,                0.49305,                 1.5398,                 1.4529,                 1.7263,              0.0001211,              0.0001211,              0.0001211
                     92,                0.79895,                0.62264,                0.99742,                0.82271,                0.84959,                0.88131,                0.49395,                 1.5537,                 1.4671,                 1.7363,              0.0001101,              0.0001101,              0.0001101
                     93,                0.78175,                0.61109,                 0.9615,                0.81374,                0.84357,                0.88133,                0.49823,                 1.5393,                 1.4227,                 1.7223,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                0.81344,                0.61748,                 0.9891,                0.82395,                0.87208,                 0.8879,                0.52033,                 1.5098,                 1.3966,                 1.7076,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                0.83954,                0.60839,                 1.0034,                0.83386,                  0.872,                0.88787,                0.52783,                 1.4911,                 1.3644,                 1.7002,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                0.75949,                0.59149,                0.96731,                0.82569,                0.86197,                 0.8915,                0.52591,                 1.4871,                 1.3639,                 1.7039,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                0.77024,                0.61038,                0.98422,                0.82486,                 0.8636,                0.88968,                 0.5265,                 1.4932,                 1.3539,                 1.7038,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                0.77017,                0.58205,                0.96412,                0.84316,                0.83609,                0.88648,                0.51868,                  1.488,                 1.3534,                 1.6989,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                0.72491,                0.58064,                0.96782,                0.85331,                0.81566,                0.88724,                0.52266,                 1.4925,                 1.3529,                 1.7037,             3.3108e-05,             3.3108e-05,             3.3108e-05
